Masses	Intensities
2.000	4.9262e2
2.037	4.2443e2
2.074	3.7457e2
2.111	3.3823e2
2.148	3.0654e2
2.185	2.7203e2
2.222	2.4314e2
2.259	2.1702e2
2.296	1.9590e2
2.333	1.7948e2
2.370	1.6244e2
2.407	1.4765e2
2.444	1.3138e2
2.481	1.2184e2
2.519	1.1808e2
2.556	1.0588e2
2.593	9.4546e1
2.630	8.5653e1
2.667	8.0522e1
2.704	7.3488e1
2.741	7.0389e1
2.778	6.2614e1
2.815	5.9854e1
2.852	5.6109e1
2.889	5.0830e1
2.926	4.5806e1
2.963	4.2724e1
3.000	3.9399e1
3.037	3.6595e1
3.074	3.2092e1
3.111	2.9027e1
3.148	2.7000e1
3.185	2.6274e1
3.222	2.2938e1
3.259	2.1056e1
3.296	1.9594e1
3.333	1.9008e1
3.370	1.7693e1
3.407	1.6660e1
3.444	1.5571e1
3.481	1.4923e1
3.519	1.4849e1
3.556	1.2498e1
3.593	1.1519e1
3.630	1.1822e1
3.667	1.1224e1
3.704	1.0023e1
3.741	1.0545e1
3.778	8.6640e0
3.815	9.1573e0
3.852	7.9337e0
3.889	7.9849e0
3.926	7.4058e0
3.963	8.1595e0
4.000	1.2790e1
4.037	1.8863e1
4.074	2.0446e1
4.111	1.9686e1
4.148	1.7739e1
4.185	1.6532e1
4.222	1.5784e1
4.259	1.5204e1
4.296	1.4190e1
4.333	1.3776e1
4.370	1.3858e1
4.407	1.3553e1
4.444	1.2760e1
4.481	1.2345e1
4.519	1.2179e1
4.556	1.2122e1
4.593	1.1406e1
4.630	1.1791e1
4.667	9.9947e0
4.704	1.0618e1
4.741	1.1296e1
4.778	1.0045e1
4.815	9.6272e0
4.852	8.5852e0
4.889	9.2007e0
4.926	9.6696e0
4.963	8.4902e0
5.000	7.7183e0
5.037	8.2876e0
5.074	7.2172e0
5.111	7.6388e0
5.148	7.5935e0
5.185	7.1693e0
5.222	7.5530e0
5.259	6.7681e0
5.296	7.1159e0
5.333	7.3714e0
5.370	5.8671e0
5.407	6.4453e0
5.444	5.7769e0
5.481	7.2342e0
5.519	6.8028e0
5.556	6.0928e0
5.593	6.4430e0
5.630	6.2262e0
5.667	5.9996e0
5.704	6.0098e0
5.741	5.5414e0
5.778	5.6871e0
5.815	5.2060e0
5.852	5.4655e0
5.889	4.8356e0
5.926	4.5044e0
5.963	5.4039e0
6.000	5.4954e0
6.037	5.2254e0
6.074	4.7416e0
6.111	4.7512e0
6.148	5.5972e0
6.185	5.1687e0
6.222	4.9364e0
6.259	4.4536e0
6.296	4.7886e0
6.333	5.1084e0
6.370	4.5346e0
6.407	5.3032e0
6.444	5.3686e0
6.481	4.5231e0
6.519	4.0356e0
6.556	4.5624e0
6.593	4.3959e0
6.630	4.2484e0
6.667	4.3769e0
6.704	4.8072e0
6.741	4.2090e0
6.778	4.0648e0
6.815	4.2022e0
6.852	3.8657e0
6.889	3.8876e0
6.926	3.8658e0
6.963	4.1105e0
7.000	3.5664e0
7.037	3.8177e0
7.074	3.8171e0
7.111	4.0872e0
7.148	4.2784e0
7.185	3.6411e0
7.222	3.8752e0
7.259	3.7144e0
7.296	3.7203e0
7.333	4.5121e0
7.370	3.8435e0
7.407	4.4962e0
7.444	3.9908e0
7.481	3.8368e0
7.519	4.0761e0
7.556	3.7815e0
7.593	3.8849e0
7.630	3.6294e0
7.667	3.6760e0
7.704	3.7039e0
7.741	3.7349e0
7.778	3.5075e0
7.815	3.8810e0
7.852	3.5945e0
7.889	3.8366e0
7.926	4.0552e0
7.963	3.2600e0
8.000	3.7476e0
8.037	4.0974e0
8.074	3.5304e0
8.111	3.4877e0
8.148	3.3433e0
8.185	3.8652e0
8.222	3.5528e0
8.259	3.8298e0
8.296	4.1503e0
8.333	3.0809e0
8.370	3.7463e0
8.407	4.1525e0
8.444	3.7582e0
8.481	3.5980e0
8.519	4.5425e0
8.556	3.6626e0
8.593	3.1658e0
8.630	3.5602e0
8.667	3.8555e0
8.704	3.6933e0
8.741	3.6252e0
8.778	4.5442e0
8.815	4.0261e0
8.852	4.3716e0
8.889	4.1141e0
8.926	3.8825e0
8.963	4.2027e0
9.000	3.7518e0
9.037	3.8932e0
9.074	3.7497e0
9.111	4.8048e0
9.148	4.1045e0
9.185	4.0032e0
9.222	3.8797e0
9.259	4.0446e0
9.296	4.3013e0
9.333	4.3387e0
9.370	4.2979e0
9.407	4.7939e0
9.444	4.3094e0
9.481	5.3367e0
9.519	4.2480e0
9.556	4.6569e0
9.593	3.9705e0
9.630	4.5195e0
9.667	4.5425e0
9.704	4.6018e0
9.741	4.7609e0
9.778	4.5756e0
9.815	4.8413e0
9.852	4.9487e0
9.889	4.2414e0
9.926	4.5984e0
9.963	4.0579e0
10.000	4.4518e0
10.037	4.5317e0
10.074	5.1658e0
10.111	5.4916e0
10.148	5.4015e0
10.185	4.9812e0
10.222	4.9983e0
10.259	5.7047e0
10.296	5.4471e0
10.333	5.3893e0
10.370	5.6350e0
10.407	5.3314e0
10.444	6.0164e0
10.481	6.1311e0
10.519	6.9047e0
10.556	6.2739e0
10.593	6.2467e0
10.630	6.1310e0
10.667	6.3084e0
10.704	5.7913e0
10.741	5.7990e0
10.778	5.9052e0
10.815	6.2788e0
10.852	6.2805e0
10.889	6.1715e0
10.926	6.9033e0
10.963	6.9449e0
11.000	6.7098e0
11.037	6.7183e0
11.074	6.9908e0
11.111	6.5647e0
11.148	6.6500e0
11.185	7.1838e0
11.222	6.7843e0
11.259	7.5144e0
11.296	7.2426e0
11.333	6.8586e0
11.370	6.4273e0
11.407	6.8934e0
11.444	7.2090e0
11.481	7.3243e0
11.519	7.8637e0
11.556	7.2774e0
11.593	8.2411e0
11.630	8.5707e0
11.667	9.1634e0
11.704	9.3092e0
11.741	9.4796e0
11.778	1.1773e1
11.815	1.2383e1
11.852	1.3378e1
11.889	1.5178e1
11.926	1.5662e1
11.963	1.5444e1
12.000	1.6321e1
12.037	1.5689e1
12.074	1.5662e1
12.111	1.4489e1
12.148	1.4232e1
12.185	1.1778e1
12.222	1.1392e1
12.259	1.0648e1
12.296	1.1634e1
12.333	1.2431e1
12.370	1.2688e1
12.407	1.1663e1
12.444	1.2888e1
12.481	1.2551e1
12.519	1.2742e1
12.556	1.3233e1
12.593	1.3302e1
12.630	1.3225e1
12.667	1.3155e1
12.704	1.3971e1
12.741	1.4627e1
12.778	1.5435e1
12.815	1.5720e1
12.852	1.5898e1
12.889	1.7001e1
12.926	1.6500e1
12.963	1.7629e1
13.000	1.9218e1
13.037	1.9102e1
13.074	2.0090e1
13.111	2.1317e1
13.148	2.1739e1
13.185	2.2498e1
13.222	2.2549e1
13.259	2.2404e1
13.296	2.3179e1
13.333	2.3309e1
13.370	2.5868e1
13.407	2.6701e1
13.444	3.0714e1
13.481	3.1271e1
13.519	3.2855e1
13.556	3.5911e1
13.593	3.7657e1
13.630	4.2680e1
13.667	4.7566e1
13.704	5.6886e1
13.741	6.9195e1
13.778	8.8400e1
13.815	1.1301e2
13.852	1.3738e2
13.889	1.6191e2
13.926	1.8027e2
13.963	1.9674e2
14.000	1.9389e2
14.037	1.8629e2
14.074	1.6708e2
14.111	1.4920e2
14.148	1.1313e2
14.185	8.0086e1
14.222	6.3390e1
14.259	5.7459e1
14.296	5.3652e1
14.333	5.4425e1
14.370	5.2035e1
14.407	5.1894e1
14.444	5.3718e1
14.481	5.3463e1
14.519	5.4083e1
14.556	5.7546e1
14.593	5.8820e1
14.630	6.0024e1
14.667	6.3403e1
14.704	6.5697e1
14.741	6.6256e1
14.778	7.0499e1
14.815	7.1614e1
14.852	7.8078e1
14.889	7.9197e1
14.926	8.5569e1
14.963	8.9417e1
15.000	9.1961e1
15.037	9.6874e1
15.074	9.9792e1
15.111	1.0575e2
15.148	1.1019e2
15.185	1.1542e2
15.222	1.1996e2
15.259	1.2773e2
15.296	1.3548e2
15.333	1.3798e2
15.370	1.4797e2
15.407	1.5508e2
15.444	1.6668e2
15.481	1.7958e2
15.519	1.9013e2
15.556	2.0777e2
15.593	2.2381e2
15.630	2.4775e2
15.667	2.6805e2
15.704	2.9399e2
15.741	3.2943e2
15.778	3.7605e2
15.815	4.1675e2
15.852	4.6557e2
15.889	4.9078e2
15.926	5.1088e2
15.963	5.0637e2
16.000	5.0423e2
16.037	4.9406e2
16.074	4.5915e2
16.111	3.9192e2
16.148	3.1273e2
